dataset_ID,interval,spikes
0,757,115106
0,758,77393
0,759,54874
0,760,12815
0,761,7866
0,762,5344
0,763,8528
0,764,7001
0,765,10214
0,766,11318
0,767,16039
0,768,16228
0,769,109570
0,770,10616
0,771,9551
0,772,48411
0,773,18143
0,774,15951
0,775,14500
0,776,11074
0,777,14010
0,778,11480
0,779,8516
0,780,12053
3,781,6781
3,782,12801
3,783,14218
3,784,17653
3,785,10006
3,786,89340
3,787,91998
3,788,76674
3,789,61815
3,790,5165
3,791,5525
3,792,11207
3,793,8282
3,794,16026
3,795,12337
3,796,10882
3,797,6852
3,798,27620
3,799,75166
3,800,14298
3,801,17370
3,802,31605
3,803,18522
3,804,9730
3,805,17959
3,806,7731
3,807,9435
3,808,11327
3,809,21474
3,810,8266
7,811,5462
7,812,7079
7,813,12861
7,814,9218
7,815,11137
7,816,80360
7,817,87684
7,818,78251
7,819,76618
7,820,7615
7,821,4993
7,822,8712
7,823,10428
7,824,9082
7,825,7815
7,826,11223
7,827,9933
7,828,34925
7,829,102265
7,830,10828
7,831,13321
7,832,38897
7,833,19828
7,834,11690
7,835,12409
7,836,17123
7,837,9805
7,838,16595
7,839,14372
7,840,15634
0,841,5950
0,842,7132
0,843,24436
0,844,14017
0,845,8748
0,846,102580
0,847,115106
0,848,77393
0,849,54874
0,850,12815
0,851,7866
0,852,5344
0,853,8528
0,854,7001
0,855,10214
0,856,11318
0,857,16039
0,858,16228
0,859,109570
0,860,10616
0,861,9551
0,862,48411
0,863,18143
0,864,15951
0,865,14500
0,866,11074
0,867,14010
0,868,11480
0,869,8516
0,870,12053
7,871,5462
7,872,7079
7,873,12861
7,874,9218
7,875,11137
7,876,80360
7,877,87684
7,878,78251
7,879,76618
7,880,7615
7,881,4993
7,882,8712
7,883,10428
7,884,9082
7,885,7815
7,886,11223
7,887,9933
7,888,34925
7,889,102265
7,890,10828
7,891,13321
7,892,38897
7,893,19828
7,894,11690
7,895,12409
7,896,17123
7,897,9805
7,898,16595
7,899,14372
7,900,15634
5,901,6062
5,902,10732
5,903,7970
5,904,11341
5,905,13649
5,906,76261
5,907,124955
5,908,70800
5,909,67544
5,910,9228
5,911,6442
5,912,8643
5,913,14095
5,914,12238
5,915,13011
5,916,15372
5,917,13731
5,918,28134
5,919,80686
5,920,14231
5,921,17189
5,922,46208
5,923,11530
5,924,10312
5,925,9399
5,926,9397
5,927,17658
5,928,9483
5,929,12726
5,930,17362
3,931,6781
3,932,12801
3,933,14218
3,934,17653
3,935,10006
3,936,89340
3,937,91998
3,938,76674
3,939,61815
3,940,5165
3,941,5525
3,942,11207
3,943,8282
3,944,16026
3,945,12337
3,946,10882
3,947,6852
3,948,27620
3,949,75166
3,950,14298
3,951,17370
3,952,31605
3,953,18522
3,954,9730
3,955,17959
3,956,7731
3,957,9435
3,958,11327
3,959,21474
3,960,8266
3,961,6781
3,962,12801
3,963,14218
3,964,17653
3,965,10006
3,966,89340
3,967,91998
3,968,76674
3,969,61815
3,970,5165
3,971,5525
3,972,11207
3,973,8282
3,974,16026
3,975,12337
3,976,10882
3,977,6852
3,978,27620
3,979,75166
3,980,14298
3,981,17370
3,982,31605
3,983,18522
3,984,9730
3,985,17959
3,986,7731
3,987,9435
3,988,11327
3,989,21474
3,990,8266
0,991,5950
0,992,7132
0,993,24436
0,994,14017
0,995,8748
0,996,102580
0,997,115106
0,998,77393
0,999,54874
0,1000,12815
0,1001,7866
0,1002,5344
0,1003,8528
0,1004,7001
0,1005,10214
0,1006,11318
0,1007,16039
0,1008,16228
0,1009,109570
0,1010,10616
0,1011,9551
0,1012,48411
0,1013,18143
0,1014,15951
0,1015,14500
0,1016,11074
0,1017,14010
0,1018,11480
0,1019,8516
0,1020,12053
7,1021,5462
7,1022,7079
7,1023,12861
7,1024,9218
7,1025,11137
7,1026,80360
7,1027,87684
7,1028,78251
7,1029,76618
7,1030,7615
7,1031,4993
7,1032,8712
7,1033,10428
7,1034,9082
7,1035,7815
7,1036,11223
7,1037,9933
7,1038,34925
7,1039,102265
7,1040,10828
7,1041,13321
7,1042,38897
7,1043,19828
7,1044,11690
7,1045,12409
7,1046,17123
7,1047,9805
7,1048,16595
7,1049,14372
7,1050,15634
5,1051,6062
5,1052,10732
5,1053,7970
5,1054,11341
5,1055,13649
5,1056,76261
5,1057,124955
5,1058,70800
5,1059,67544
5,1060,9228
5,1061,6442
5,1062,8643
5,1063,14095
5,1064,12238
5,1065,13011
5,1066,15372
5,1067,13731
5,1068,28134
5,1069,80686
5,1070,14231
5,1071,17189
5,1072,46208
5,1073,11530
5,1074,10312
5,1075,9399
5,1076,9397
5,1077,17658
5,1078,9483
5,1079,12726
5,1080,17362
3,1081,6781
3,1082,12801
3,1083,14218
3,1084,17653
3,1085,10006
3,1086,89340
3,1087,91998
3,1088,76674
3,1089,61815
3,1090,5165
3,1091,5525
3,1092,11207
3,1093,8282
3,1094,16026
3,1095,12337
3,1096,10882
3,1097,6852
3,1098,27620
3,1099,75166
3,1100,14298
3,1101,17370
3,1102,31605
3,1103,18522
3,1104,9730
3,1105,17959
3,1106,7731
3,1107,9435
3,1108,11327
3,1109,21474
3,1110,8266
5,1111,6062
5,1112,10732
5,1113,7970
5,1114,11341
5,1115,13649
5,1116,76261
5,1117,124955
5,1118,70800
5,1119,67544
5,1120,9228
5,1121,6442
5,1122,8643
5,1123,14095
5,1124,12238
5,1125,13011
5,1126,15372
5,1127,13731
5,1128,28134
5,1129,80686
5,1130,14231
5,1131,17189
5,1132,46208
5,1133,11530
5,1134,10312
5,1135,9399
5,1136,9397
5,1137,17658
5,1138,9483
5,1139,12726
5,1140,17362
0,1141,5950
0,1142,7132
0,1143,24436
0,1144,14017
0,1145,8748
0,1146,102580
0,1147,115106
0,1148,77393
0,1149,54874
0,1150,12815
0,1151,7866
0,1152,5344
0,1153,8528
0,1154,7001
0,1155,10214
0,1156,11318
0,1157,16039
0,1158,16228
0,1159,109570
0,1160,10616
0,1161,9551
0,1162,48411
0,1163,18143
0,1164,15951
0,1165,14500
0,1166,11074
