dataset_ID,interval,attack,spikes,class,differenceSpikes_1
5,3813,FLO,7970,0,-2762
5,3814,FLO,11341,0,3371
5,3815,FLO,13649,0,2308
5,3816,FLO,76261,0,62612
5,3817,FLO,150289,1,74028
5,3818,FLO,71774,0,-78515
5,3819,FLO,67561,0,-4213
5,3820,FLO,9293,0,-58268
5,3821,FLO,6397,0,-2896
5,3822,FLO,8690,0,2293
5,3823,FLO,14017,0,5327
5,3824,FLO,12268,0,-1749
5,3825,FLO,13064,0,796
5,3826,FLO,15241,0,2177
5,3827,FLO,13747,0,-1494
5,3828,FLO,28150,0,14403
5,3829,FLO,80542,0,52392
5,3830,FLO,14238,0,-66304
5,3831,FLO,17240,0,3002
5,3832,FLO,46155,0,28915
5,3833,FLO,11481,0,-34674
5,3834,FLO,10397,0,-1084
5,3835,FLO,9400,0,-997
5,3836,FLO,9351,0,-49
5,3837,FLO,17711,0,8360
5,3838,FLO,9441,0,-8270
5,3839,FLO,12714,0,3273
5,3840,FLO,17375,0,4661
7,3841,FLO,5462,0,-11913
7,3842,FLO,7079,0,1617
7,3843,FLO,12861,0,5782
7,3844,FLO,9218,0,-3643
7,3845,FLO,11137,0,1919
7,3846,FLO,80360,0,69223
7,3847,FLO,109553,1,29193
7,3848,FLO,78483,0,-31070
7,3849,FLO,76699,0,-1784
7,3850,FLO,7665,0,-69034
7,3851,FLO,4969,0,-2696
7,3852,FLO,8722,0,3753
7,3853,FLO,10390,0,1668
7,3854,FLO,8979,0,-1411
7,3855,FLO,7807,0,-1172
7,3856,FLO,11147,0,3340
7,3857,FLO,9966,0,-1181
7,3858,FLO,34967,0,25001
7,3859,FLO,102224,0,67257
7,3860,FLO,10815,0,-91409
7,3861,FLO,13312,0,2497
7,3862,FLO,38942,0,25630
7,3863,FLO,19998,0,-18944
7,3864,FLO,11638,0,-8360
7,3865,FLO,12469,0,831
7,3866,FLO,17079,0,4610
7,3867,FLO,9810,0,-7269
7,3868,FLO,16521,0,6711
7,3869,FLO,14473,0,-2048
7,3870,FLO,15582,0,1109
0,3871,FLO,5950,0,-9632
0,3872,FLO,7132,0,1182
0,3873,FLO,24436,0,17304
0,3874,FLO,14017,0,-10419
0,3875,FLO,8748,0,-5269
0,3876,FLO,102580,0,93832
0,3877,FLO,130253,1,27673
0,3878,FLO,79058,0,-51195
0,3879,FLO,55046,0,-24012
0,3880,FLO,12614,0,-42432
0,3881,FLO,7952,0,-4662
0,3882,FLO,5347,0,-2605
0,3883,FLO,8414,0,3067
0,3884,FLO,7029,0,-1385
0,3885,FLO,10252,0,3223
0,3886,FLO,11303,0,1051
0,3887,FLO,16003,0,4700
0,3888,FLO,16181,0,178
0,3889,FLO,109649,0,93468
0,3890,FLO,10577,0,-99072
0,3891,FLO,9550,0,-1027
0,3892,FLO,48445,0,38895
0,3893,FLO,18210,0,-30235
0,3894,FLO,15996,0,-2214
0,3895,FLO,14568,0,-1428
0,3896,FLO,11044,0,-3524
0,3897,FLO,14017,0,2973
0,3898,FLO,11485,0,-2532
0,3899,FLO,8510,0,-2975
0,3900,FLO,12043,0,3533
3,3901,Spontaneous,6781,0,-5262
3,3902,Spontaneous,12801,0,6020
3,3903,Spontaneous,14218,0,1417
3,3904,Spontaneous,17653,0,3435
3,3905,Spontaneous,10006,0,-7647
3,3906,Spontaneous,89340,0,79334
3,3907,Spontaneous,91998,0,2658
3,3908,Spontaneous,76674,0,-15324
3,3909,Spontaneous,61815,0,-14859
3,3910,Spontaneous,5165,0,-56650
3,3911,Spontaneous,5525,0,360
3,3912,Spontaneous,11207,0,5682
3,3913,Spontaneous,8282,0,-2925
3,3914,Spontaneous,16026,0,7744
3,3915,Spontaneous,12337,0,-3689
3,3916,Spontaneous,10882,0,-1455
3,3917,Spontaneous,6852,0,-4030
3,3918,Spontaneous,27620,0,20768
3,3919,Spontaneous,75166,0,47546
3,3920,Spontaneous,14298,0,-60868
3,3921,Spontaneous,17370,0,3072
3,3922,Spontaneous,31605,0,14235
3,3923,Spontaneous,18522,0,-13083
3,3924,Spontaneous,9730,0,-8792
3,3925,Spontaneous,17959,0,8229
3,3926,Spontaneous,7731,0,-10228
3,3927,Spontaneous,9435,0,1704
3,3928,Spontaneous,11327,0,1892
3,3929,Spontaneous,21474,0,10147
3,3930,Spontaneous,8266,0,-13208
5,3931,FLO,6062,0,-2204
5,3932,FLO,10732,0,4670
5,3933,FLO,7970,0,-2762
5,3934,FLO,11341,0,3371
5,3935,FLO,13649,0,2308
5,3936,FLO,76261,0,62612
5,3937,FLO,150289,1,74028
5,3938,FLO,71774,0,-78515
5,3939,FLO,67561,0,-4213
5,3940,FLO,9293,0,-58268
5,3941,FLO,6397,0,-2896
5,3942,FLO,8690,0,2293
5,3943,FLO,14017,0,5327
5,3944,FLO,12268,0,-1749
5,3945,FLO,13064,0,796
5,3946,FLO,15241,0,2177
5,3947,FLO,13747,0,-1494
5,3948,FLO,28150,0,14403
5,3949,FLO,80542,0,52392
5,3950,FLO,14238,0,-66304
5,3951,FLO,17240,0,3002
5,3952,FLO,46155,0,28915
5,3953,FLO,11481,0,-34674
5,3954,FLO,10397,0,-1084
5,3955,FLO,9400,0,-997
